"V1" "V2" "V3"
"68" 68 "tGravityAcc-arCoeff()-X,3" "tgravityaccarcoeffx3"
"69" 69 "tGravityAcc-arCoeff()-X,4" "tgravityaccarcoeffx4"
"70" 70 "tGravityAcc-arCoeff()-Y,1" "tgravityaccarcoeffy1"
"71" 71 "tGravityAcc-arCoeff()-Y,2" "tgravityaccarcoeffy2"
"72" 72 "tGravityAcc-arCoeff()-Y,3" "tgravityaccarcoeffy3"
"73" 73 "tGravityAcc-arCoeff()-Y,4" "tgravityaccarcoeffy4"
"74" 74 "tGravityAcc-arCoeff()-Z,1" "tgravityaccarcoeffz1"
"75" 75 "tGravityAcc-arCoeff()-Z,2" "tgravityaccarcoeffz2"
"76" 76 "tGravityAcc-arCoeff()-Z,3" "tgravityaccarcoeffz3"
"77" 77 "tGravityAcc-arCoeff()-Z,4" "tgravityaccarcoeffz4"
"78" 78 "tGravityAcc-correlation()-X,Y" "tgravityacccorrelationxy"
"79" 79 "tGravityAcc-correlation()-X,Z" "tgravityacccorrelationxz"
"80" 80 "tGravityAcc-correlation()-Y,Z" "tgravityacccorrelationyz"
"81" 81 "tBodyAccJerk-mean()-X" "tbodyaccjerkmeanx"
"82" 82 "tBodyAccJerk-mean()-Y" "tbodyaccjerkmeany"
"83" 83 "tBodyAccJerk-mean()-Z" "tbodyaccjerkmeanz"
"84" 84 "tBodyAccJerk-std()-X" "tbodyaccjerkstdx"
"85" 85 "tBodyAccJerk-std()-Y" "tbodyaccjerkstdy"
"86" 86 "tBodyAccJerk-std()-Z" "tbodyaccjerkstdz"
"87" 87 "tBodyAccJerk-mad()-X" "tbodyaccjerkmadx"
"88" 88 "tBodyAccJerk-mad()-Y" "tbodyaccjerkmady"
"89" 89 "tBodyAccJerk-mad()-Z" "tbodyaccjerkmadz"
"90" 90 "tBodyAccJerk-max()-X" "tbodyaccjerkmaxx"
"91" 91 "tBodyAccJerk-max()-Y" "tbodyaccjerkmaxy"
"92" 92 "tBodyAccJerk-max()-Z" "tbodyaccjerkmaxz"
"93" 93 "tBodyAccJerk-min()-X" "tbodyaccjerkminx"
"94" 94 "tBodyAccJerk-min()-Y" "tbodyaccjerkminy"
"95" 95 "tBodyAccJerk-min()-Z" "tbodyaccjerkminz"
"96" 96 "tBodyAccJerk-sma()" "tbodyaccjerksma"
"97" 97 "tBodyAccJerk-energy()-X" "tbodyaccjerkenergyx"
"98" 98 "tBodyAccJerk-energy()-Y" "tbodyaccjerkenergyy"
"99" 99 "tBodyAccJerk-energy()-Z" "tbodyaccjerkenergyz"
"100" 100 "tBodyAccJerk-iqr()-X" "tbodyaccjerkiqrx"
"101" 101 "tBodyAccJerk-iqr()-Y" "tbodyaccjerkiqry"
"102" 102 "tBodyAccJerk-iqr()-Z" "tbodyaccjerkiqrz"
"103" 103 "tBodyAccJerk-entropy()-X" "tbodyaccjerkentropyx"
"104" 104 "tBodyAccJerk-entropy()-Y" "tbodyaccjerkentropyy"
"105" 105 "tBodyAccJerk-entropy()-Z" "tbodyaccjerkentropyz"
"106" 106 "tBodyAccJerk-arCoeff()-X,1" "tbodyaccjerkarcoeffx1"
"107" 107 "tBodyAccJerk-arCoeff()-X,2" "tbodyaccjerkarcoeffx2"
"108" 108 "tBodyAccJerk-arCoeff()-X,3" "tbodyaccjerkarcoeffx3"
"109" 109 "tBodyAccJerk-arCoeff()-X,4" "tbodyaccjerkarcoeffx4"
"110" 110 "tBodyAccJerk-arCoeff()-Y,1" "tbodyaccjerkarcoeffy1"
"111" 111 "tBodyAccJerk-arCoeff()-Y,2" "tbodyaccjerkarcoeffy2"
"112" 112 "tBodyAccJerk-arCoeff()-Y,3" "tbodyaccjerkarcoeffy3"
"113" 113 "tBodyAccJerk-arCoeff()-Y,4" "tbodyaccjerkarcoeffy4"
"114" 114 "tBodyAccJerk-arCoeff()-Z,1" "tbodyaccjerkarcoeffz1"
"115" 115 "tBodyAccJerk-arCoeff()-Z,2" "tbodyaccjerkarcoeffz2"
"116" 116 "tBodyAccJerk-arCoeff()-Z,3" "tbodyaccjerkarcoeffz3"
"117" 117 "tBodyAccJerk-arCoeff()-Z,4" "tbodyaccjerkarcoeffz4"
"118" 118 "tBodyAccJerk-correlation()-X,Y" "tbodyaccjerkcorrelationxy"
"119" 119 "tBodyAccJerk-correlation()-X,Z" "tbodyaccjerkcorrelationxz"
"120" 120 "tBodyAccJerk-correlation()-Y,Z" "tbodyaccjerkcorrelationyz"
"121" 121 "tBodyGyro-mean()-X" "tbodygyromeanx"
"122" 122 "tBodyGyro-mean()-Y" "tbodygyromeany"
"123" 123 "tBodyGyro-mean()-Z" "tbodygyromeanz"
"124" 124 "tBodyGyro-std()-X" "tbodygyrostdx"
"125" 125 "tBodyGyro-std()-Y" "tbodygyrostdy"
"126" 126 "tBodyGyro-std()-Z" "tbodygyrostdz"
"127" 127 "tBodyGyro-mad()-X" "tbodygyromadx"
"128" 128 "tBodyGyro-mad()-Y" "tbodygyromady"
"129" 129 "tBodyGyro-mad()-Z" "tbodygyromadz"
"130" 130 "tBodyGyro-max()-X" "tbodygyromaxx"
"131" 131 "tBodyGyro-max()-Y" "tbodygyromaxy"
"132" 132 "tBodyGyro-max()-Z" "tbodygyromaxz"
"133" 133 "tBodyGyro-min()-X" "tbodygyrominx"
"134" 134 "tBodyGyro-min()-Y" "tbodygyrominy"
"135" 135 "tBodyGyro-min()-Z" "tbodygyrominz"
"136" 136 "tBodyGyro-sma()" "tbodygyrosma"
"137" 137 "tBodyGyro-energy()-X" "tbodygyroenergyx"
"138" 138 "tBodyGyro-energy()-Y" "tbodygyroenergyy"
"139" 139 "tBodyGyro-energy()-Z" "tbodygyroenergyz"
"140" 140 "tBodyGyro-iqr()-X" "tbodygyroiqrx"
"141" 141 "tBodyGyro-iqr()-Y" "tbodygyroiqry"
"142" 142 "tBodyGyro-iqr()-Z" "tbodygyroiqrz"
"143" 143 "tBodyGyro-entropy()-X" "tbodygyroentropyx"
"144" 144 "tBodyGyro-entropy()-Y" "tbodygyroentropyy"
"145" 145 "tBodyGyro-entropy()-Z" "tbodygyroentropyz"
"146" 146 "tBodyGyro-arCoeff()-X,1" "tbodygyroarcoeffx1"
"147" 147 "tBodyGyro-arCoeff()-X,2" "tbodygyroarcoeffx2"
"148" 148 "tBodyGyro-arCoeff()-X,3" "tbodygyroarcoeffx3"
"149" 149 "tBodyGyro-arCoeff()-X,4" "tbodygyroarcoeffx4"
"150" 150 "tBodyGyro-arCoeff()-Y,1" "tbodygyroarcoeffy1"
"151" 151 "tBodyGyro-arCoeff()-Y,2" "tbodygyroarcoeffy2"
"152" 152 "tBodyGyro-arCoeff()-Y,3" "tbodygyroarcoeffy3"
"153" 153 "tBodyGyro-arCoeff()-Y,4" "tbodygyroarcoeffy4"
"154" 154 "tBodyGyro-arCoeff()-Z,1" "tbodygyroarcoeffz1"
"155" 155 "tBodyGyro-arCoeff()-Z,2" "tbodygyroarcoeffz2"
"156" 156 "tBodyGyro-arCoeff()-Z,3" "tbodygyroarcoeffz3"
"157" 157 "tBodyGyro-arCoeff()-Z,4" "tbodygyroarcoeffz4"
"158" 158 "tBodyGyro-correlation()-X,Y" "tbodygyrocorrelationxy"
"159" 159 "tBodyGyro-correlation()-X,Z" "tbodygyrocorrelationxz"
"160" 160 "tBodyGyro-correlation()-Y,Z" "tbodygyrocorrelationyz"
"161" 161 "tBodyGyroJerk-mean()-X" "tbodygyrojerkmeanx"
"162" 162 "tBodyGyroJerk-mean()-Y" "tbodygyrojerkmeany"
"163" 163 "tBodyGyroJerk-mean()-Z" "tbodygyrojerkmeanz"
"164" 164 "tBodyGyroJerk-std()-X" "tbodygyrojerkstdx"
"165" 165 "tBodyGyroJerk-std()-Y" "tbodygyrojerkstdy"
"166" 166 "tBodyGyroJerk-std()-Z" "tbodygyrojerkstdz"
"167" 167 "tBodyGyroJerk-mad()-X" "tbodygyrojerkmadx"
"168" 168 "tBodyGyroJerk-mad()-Y" "tbodygyrojerkmady"
"169" 169 "tBodyGyroJerk-mad()-Z" "tbodygyrojerkmadz"
"170" 170 "tBodyGyroJerk-max()-X" "tbodygyrojerkmaxx"
"171" 171 "tBodyGyroJerk-max()-Y" "tbodygyrojerkmaxy"
"172" 172 "tBodyGyroJerk-max()-Z" "tbodygyrojerkmaxz"
"173" 173 "tBodyGyroJerk-min()-X" "tbodygyrojerkminx"
"174" 174 "tBodyGyroJerk-min()-Y" "tbodygyrojerkminy"
"175" 175 "tBodyGyroJerk-min()-Z" "tbodygyrojerkminz"
"176" 176 "tBodyGyroJerk-sma()" "tbodygyrojerksma"
"177" 177 "tBodyGyroJerk-energy()-X" "tbodygyrojerkenergyx"
"178" 178 "tBodyGyroJerk-energy()-Y" "tbodygyrojerkenergyy"
"179" 179 "tBodyGyroJerk-energy()-Z" "tbodygyrojerkenergyz"
"180" 180 "tBodyGyroJerk-iqr()-X" "tbodygyrojerkiqrx"
"181" 181 "tBodyGyroJerk-iqr()-Y" "tbodygyrojerkiqry"
"182" 182 "tBodyGyroJerk-iqr()-Z" "tbodygyrojerkiqrz"
"183" 183 "tBodyGyroJerk-entropy()-X" "tbodygyrojerkentropyx"
"184" 184 "tBodyGyroJerk-entropy()-Y" "tbodygyrojerkentropyy"
"185" 185 "tBodyGyroJerk-entropy()-Z" "tbodygyrojerkentropyz"
"186" 186 "tBodyGyroJerk-arCoeff()-X,1" "tbodygyrojerkarcoeffx1"
"187" 187 "tBodyGyroJerk-arCoeff()-X,2" "tbodygyrojerkarcoeffx2"
"188" 188 "tBodyGyroJerk-arCoeff()-X,3" "tbodygyrojerkarcoeffx3"
"189" 189 "tBodyGyroJerk-arCoeff()-X,4" "tbodygyrojerkarcoeffx4"
"190" 190 "tBodyGyroJerk-arCoeff()-Y,1" "tbodygyrojerkarcoeffy1"
"191" 191 "tBodyGyroJerk-arCoeff()-Y,2" "tbodygyrojerkarcoeffy2"
"192" 192 "tBodyGyroJerk-arCoeff()-Y,3" "tbodygyrojerkarcoeffy3"
"193" 193 "tBodyGyroJerk-arCoeff()-Y,4" "tbodygyrojerkarcoeffy4"
"194" 194 "tBodyGyroJerk-arCoeff()-Z,1" "tbodygyrojerkarcoeffz1"
"195" 195 "tBodyGyroJerk-arCoeff()-Z,2" "tbodygyrojerkarcoeffz2"
"196" 196 "tBodyGyroJerk-arCoeff()-Z,3" "tbodygyrojerkarcoeffz3"
"197" 197 "tBodyGyroJerk-arCoeff()-Z,4" "tbodygyrojerkarcoeffz4"
"198" 198 "tBodyGyroJerk-correlation()-X,Y" "tbodygyrojerkcorrelationxy"
"199" 199 "tBodyGyroJerk-correlation()-X,Z" "tbodygyrojerkcorrelationxz"
"200" 200 "tBodyGyroJerk-correlation()-Y,Z" "tbodygyrojerkcorrelationyz"
"201" 201 "tBodyAccMag-mean()" "tbodyaccmagmean"
"202" 202 "tBodyAccMag-std()" "tbodyaccmagstd"
"203" 203 "tBodyAccMag-mad()" "tbodyaccmagmad"
"204" 204 "tBodyAccMag-max()" "tbodyaccmagmax"
"205" 205 "tBodyAccMag-min()" "tbodyaccmagmin"
"206" 206 "tBodyAccMag-sma()" "tbodyaccmagsma"
"207" 207 "tBodyAccMag-energy()" "tbodyaccmagenergy"
"208" 208 "tBodyAccMag-iqr()" "tbodyaccmagiqr"
"209" 209 "tBodyAccMag-entropy()" "tbodyaccmagentropy"
"210" 210 "tBodyAccMag-arCoeff()1" "tbodyaccmagarcoeff1"
"211" 211 "tBodyAccMag-arCoeff()2" "tbodyaccmagarcoeff2"
"212" 212 "tBodyAccMag-arCoeff()3" "tbodyaccmagarcoeff3"
"213" 213 "tBodyAccMag-arCoeff()4" "tbodyaccmagarcoeff4"
"214" 214 "tGravityAccMag-mean()" "tgravityaccmagmean"
"215" 215 "tGravityAccMag-std()" "tgravityaccmagstd"
"216" 216 "tGravityAccMag-mad()" "tgravityaccmagmad"
"217" 217 "tGravityAccMag-max()" "tgravityaccmagmax"
"218" 218 "tGravityAccMag-min()" "tgravityaccmagmin"
"219" 219 "tGravityAccMag-sma()" "tgravityaccmagsma"
"220" 220 "tGravityAccMag-energy()" "tgravityaccmagenergy"
"221" 221 "tGravityAccMag-iqr()" "tgravityaccmagiqr"
"222" 222 "tGravityAccMag-entropy()" "tgravityaccmagentropy"
"223" 223 "tGravityAccMag-arCoeff()1" "tgravityaccmagarcoeff1"
"224" 224 "tGravityAccMag-arCoeff()2" "tgravityaccmagarcoeff2"
"225" 225 "tGravityAccMag-arCoeff()3" "tgravityaccmagarcoeff3"
"226" 226 "tGravityAccMag-arCoeff()4" "tgravityaccmagarcoeff4"
"227" 227 "tBodyAccJerkMag-mean()" "tbodyaccjerkmagmean"
"228" 228 "tBodyAccJerkMag-std()" "tbodyaccjerkmagstd"
"229" 229 "tBodyAccJerkMag-mad()" "tbodyaccjerkmagmad"
"230" 230 "tBodyAccJerkMag-max()" "tbodyaccjerkmagmax"
"231" 231 "tBodyAccJerkMag-min()" "tbodyaccjerkmagmin"
"232" 232 "tBodyAccJerkMag-sma()" "tbodyaccjerkmagsma"
"233" 233 "tBodyAccJerkMag-energy()" "tbodyaccjerkmagenergy"
"234" 234 "tBodyAccJerkMag-iqr()" "tbodyaccjerkmagiqr"
"235" 235 "tBodyAccJerkMag-entropy()" "tbodyaccjerkmagentropy"
"236" 236 "tBodyAccJerkMag-arCoeff()1" "tbodyaccjerkmagarcoeff1"
"237" 237 "tBodyAccJerkMag-arCoeff()2" "tbodyaccjerkmagarcoeff2"
"238" 238 "tBodyAccJerkMag-arCoeff()3" "tbodyaccjerkmagarcoeff3"
"239" 239 "tBodyAccJerkMag-arCoeff()4" "tbodyaccjerkmagarcoeff4"
"240" 240 "tBodyGyroMag-mean()" "tbodygyromagmean"
"241" 241 "tBodyGyroMag-std()" "tbodygyromagstd"
"242" 242 "tBodyGyroMag-mad()" "tbodygyromagmad"
"243" 243 "tBodyGyroMag-max()" "tbodygyromagmax"
"244" 244 "tBodyGyroMag-min()" "tbodygyromagmin"
"245" 245 "tBodyGyroMag-sma()" "tbodygyromagsma"
"246" 246 "tBodyGyroMag-energy()" "tbodygyromagenergy"
"247" 247 "tBodyGyroMag-iqr()" "tbodygyromagiqr"
"248" 248 "tBodyGyroMag-entropy()" "tbodygyromagentropy"
"249" 249 "tBodyGyroMag-arCoeff()1" "tbodygyromagarcoeff1"
"250" 250 "tBodyGyroMag-arCoeff()2" "tbodygyromagarcoeff2"
"251" 251 "tBodyGyroMag-arCoeff()3" "tbodygyromagarcoeff3"
"252" 252 "tBodyGyroMag-arCoeff()4" "tbodygyromagarcoeff4"
"253" 253 "tBodyGyroJerkMag-mean()" "tbodygyrojerkmagmean"
"254" 254 "tBodyGyroJerkMag-std()" "tbodygyrojerkmagstd"
"255" 255 "tBodyGyroJerkMag-mad()" "tbodygyrojerkmagmad"
"256" 256 "tBodyGyroJerkMag-max()" "tbodygyrojerkmagmax"
"257" 257 "tBodyGyroJerkMag-min()" "tbodygyrojerkmagmin"
"258" 258 "tBodyGyroJerkMag-sma()" "tbodygyrojerkmagsma"
"259" 259 "tBodyGyroJerkMag-energy()" "tbodygyrojerkmagenergy"
"260" 260 "tBodyGyroJerkMag-iqr()" "tbodygyrojerkmagiqr"
"261" 261 "tBodyGyroJerkMag-entropy()" "tbodygyrojerkmagentropy"
"262" 262 "tBodyGyroJerkMag-arCoeff()1" "tbodygyrojerkmagarcoeff1"
"263" 263 "tBodyGyroJerkMag-arCoeff()2" "tbodygyrojerkmagarcoeff2"
"264" 264 "tBodyGyroJerkMag-arCoeff()3" "tbodygyrojerkmagarcoeff3"
"265" 265 "tBodyGyroJerkMag-arCoeff()4" "tbodygyrojerkmagarcoeff4"
"266" 266 "fBodyAcc-mean()-X" "fbodyaccmeanx"
"267" 267 "fBodyAcc-mean()-Y" "fbodyaccmeany"
"268" 268 "fBodyAcc-mean()-Z" "fbodyaccmeanz"
"269" 269 "fBodyAcc-std()-X" "fbodyaccstdx"
"270" 270 "fBodyAcc-std()-Y" "fbodyaccstdy"
"271" 271 "fBodyAcc-std()-Z" "fbodyaccstdz"
"272" 272 "fBodyAcc-mad()-X" "fbodyaccmadx"
"273" 273 "fBodyAcc-mad()-Y" "fbodyaccmady"
"274" 274 "fBodyAcc-mad()-Z" "fbodyaccmadz"
"275" 275 "fBodyAcc-max()-X" "fbodyaccmaxx"
"276" 276 "fBodyAcc-max()-Y" "fbodyaccmaxy"
"277" 277 "fBodyAcc-max()-Z" "fbodyaccmaxz"
"278" 278 "fBodyAcc-min()-X" "fbodyaccminx"
"279" 279 "fBodyAcc-min()-Y" "fbodyaccminy"
"280" 280 "fBodyAcc-min()-Z" "fbodyaccminz"
"281" 281 "fBodyAcc-sma()" "fbodyaccsma"
"282" 282 "fBodyAcc-energy()-X" "fbodyaccenergyx"
"283" 283 "fBodyAcc-energy()-Y" "fbodyaccenergyy"
"284" 284 "fBodyAcc-energy()-Z" "fbodyaccenergyz"
"285" 285 "fBodyAcc-iqr()-X" "fbodyacciqrx"
"286" 286 "fBodyAcc-iqr()-Y" "fbodyacciqry"
"287" 287 "fBodyAcc-iqr()-Z" "fbodyacciqrz"
"288" 288 "fBodyAcc-entropy()-X" "fbodyaccentropyx"
"289" 289 "fBodyAcc-entropy()-Y" "fbodyaccentropyy"
"290" 290 "fBodyAcc-entropy()-Z" "fbodyaccentropyz"
"291" 291 "fBodyAcc-maxInds-X" "fbodyaccmaxindsx"
"292" 292 "fBodyAcc-maxInds-Y" "fbodyaccmaxindsy"
"293" 293 "fBodyAcc-maxInds-Z" "fbodyaccmaxindsz"
"294" 294 "fBodyAcc-meanFreq()-X" "fbodyaccmeanfreqx"
"295" 295 "fBodyAcc-meanFreq()-Y" "fbodyaccmeanfreqy"
"296" 296 "fBodyAcc-meanFreq()-Z" "fbodyaccmeanfreqz"
"297" 297 "fBodyAcc-skewness()-X" "fbodyaccskewnessx"
"298" 298 "fBodyAcc-kurtosis()-X" "fbodyacckurtosisx"
"299" 299 "fBodyAcc-skewness()-Y" "fbodyaccskewnessy"
"300" 300 "fBodyAcc-kurtosis()-Y" "fbodyacckurtosisy"
"301" 301 "fBodyAcc-skewness()-Z" "fbodyaccskewnessz"
"302" 302 "fBodyAcc-kurtosis()-Z" "fbodyacckurtosisz"
"303" 303 "fBodyAcc-bandsEnergy()-1,8" "fbodyaccbandsenergy18"
"304" 304 "fBodyAcc-bandsEnergy()-9,16" "fbodyaccbandsenergy916"
"305" 305 "fBodyAcc-bandsEnergy()-17,24" "fbodyaccbandsenergy1724"
"306" 306 "fBodyAcc-bandsEnergy()-25,32" "fbodyaccbandsenergy2532"
"307" 307 "fBodyAcc-bandsEnergy()-33,40" "fbodyaccbandsenergy3340"
"308" 308 "fBodyAcc-bandsEnergy()-41,48" "fbodyaccbandsenergy4148"
"309" 309 "fBodyAcc-bandsEnergy()-49,56" "fbodyaccbandsenergy4956"
"310" 310 "fBodyAcc-bandsEnergy()-57,64" "fbodyaccbandsenergy5764"
"311" 311 "fBodyAcc-bandsEnergy()-1,16" "fbodyaccbandsenergy116"
"312" 312 "fBodyAcc-bandsEnergy()-17,32" "fbodyaccbandsenergy1732"
"313" 313 "fBodyAcc-bandsEnergy()-33,48" "fbodyaccbandsenergy3348"
"314" 314 "fBodyAcc-bandsEnergy()-49,64" "fbodyaccbandsenergy4964"
"315" 315 "fBodyAcc-bandsEnergy()-1,24" "fbodyaccbandsenergy124"
"316" 316 "fBodyAcc-bandsEnergy()-25,48" "fbodyaccbandsenergy2548"
"317" 317 "fBodyAcc-bandsEnergy()-1,8" "fbodyaccbandsenergy18"
"318" 318 "fBodyAcc-bandsEnergy()-9,16" "fbodyaccbandsenergy916"
"319" 319 "fBodyAcc-bandsEnergy()-17,24" "fbodyaccbandsenergy1724"
"320" 320 "fBodyAcc-bandsEnergy()-25,32" "fbodyaccbandsenergy2532"
"321" 321 "fBodyAcc-bandsEnergy()-33,40" "fbodyaccbandsenergy3340"
"322" 322 "fBodyAcc-bandsEnergy()-41,48" "fbodyaccbandsenergy4148"
"323" 323 "fBodyAcc-bandsEnergy()-49,56" "fbodyaccbandsenergy4956"
"324" 324 "fBodyAcc-bandsEnergy()-57,64" "fbodyaccbandsenergy5764"
"325" 325 "fBodyAcc-bandsEnergy()-1,16" "fbodyaccbandsenergy116"
"326" 326 "fBodyAcc-bandsEnergy()-17,32" "fbodyaccbandsenergy1732"
"327" 327 "fBodyAcc-bandsEnergy()-33,48" "fbodyaccbandsenergy3348"
"328" 328 "fBodyAcc-bandsEnergy()-49,64" "fbodyaccbandsenergy4964"
"329" 329 "fBodyAcc-bandsEnergy()-1,24" "fbodyaccbandsenergy124"
"330" 330 "fBodyAcc-bandsEnergy()-25,48" "fbodyaccbandsenergy2548"
"331" 331 "fBodyAcc-bandsEnergy()-1,8" "fbodyaccbandsenergy18"
"332" 332 "fBodyAcc-bandsEnergy()-9,16" "fbodyaccbandsenergy916"
"333" 333 "fBodyAcc-bandsEnergy()-17,24" "fbodyaccbandsenergy1724"
"334" 334 "fBodyAcc-bandsEnergy()-25,32" "fbodyaccbandsenergy2532"
"335" 335 "fBodyAcc-bandsEnergy()-33,40" "fbodyaccbandsenergy3340"
"336" 336 "fBodyAcc-bandsEnergy()-41,48" "fbodyaccbandsenergy4148"
"337" 337 "fBodyAcc-bandsEnergy()-49,56" "fbodyaccbandsenergy4956"
"338" 338 "fBodyAcc-bandsEnergy()-57,64" "fbodyaccbandsenergy5764"
"339" 339 "fBodyAcc-bandsEnergy()-1,16" "fbodyaccbandsenergy116"
"340" 340 "fBodyAcc-bandsEnergy()-17,32" "fbodyaccbandsenergy1732"
"341" 341 "fBodyAcc-bandsEnergy()-33,48" "fbodyaccbandsenergy3348"
"342" 342 "fBodyAcc-bandsEnergy()-49,64" "fbodyaccbandsenergy4964"
"343" 343 "fBodyAcc-bandsEnergy()-1,24" "fbodyaccbandsenergy124"
"344" 344 "fBodyAcc-bandsEnergy()-25,48" "fbodyaccbandsenergy2548"
"345" 345 "fBodyAccJerk-mean()-X" "fbodyaccjerkmeanx"
"346" 346 "fBodyAccJerk-mean()-Y" "fbodyaccjerkmeany"
"347" 347 "fBodyAccJerk-mean()-Z" "fbodyaccjerkmeanz"
"348" 348 "fBodyAccJerk-std()-X" "fbodyaccjerkstdx"
"349" 349 "fBodyAccJerk-std()-Y" "fbodyaccjerkstdy"
"350" 350 "fBodyAccJerk-std()-Z" "fbodyaccjerkstdz"
"351" 351 "fBodyAccJerk-mad()-X" "fbodyaccjerkmadx"
"352" 352 "fBodyAccJerk-mad()-Y" "fbodyaccjerkmady"
"353" 353 "fBodyAccJerk-mad()-Z" "fbodyaccjerkmadz"
"354" 354 "fBodyAccJerk-max()-X" "fbodyaccjerkmaxx"
"355" 355 "fBodyAccJerk-max()-Y" "fbodyaccjerkmaxy"
"356" 356 "fBodyAccJerk-max()-Z" "fbodyaccjerkmaxz"
